,time,4T,5S,5W,4W,4S,direction
0,1681776026.5,0,0,0,0,0,0
1,1681776076.5,1,1,0,0,0,0
2,1681776126.5,1,1,0,0,0,0
3,1681776176.5,1,1,0,0,0,0
4,1681776226.5,1,1,0,0,0,0
5,1681776276.5,1,1,0,0,0,0
6,1681776326.5,1,1,0,0,0,0
7,1681776376.5,1,1,0,0,0,0
8,1681776426.5,1,1,0,0,0,0
9,1681776477.0,1,1,0,0,0,0
10,1681776527.5,1,1,0,0,0,0
11,1681776577.5,1,1,0,0,0,0
12,1681776627.5,1,1,0,0,0,0
13,1681776677.5,1,1,0,0,0,0
14,1681776727.5,1,1,0,0,0,0
15,1681776777.5,1,1,0,0,0,0
16,1681776827.5,1,1,0,0,0,0
17,1681776877.5,1,1,0,0,0,0
18,1681776927.5,1,1,0,0,0,0
19,1681776977.5,1,1,0,1,1,0
20,1681777027.5,1,1,0,1,1,0
21,1681777077.5,1,1,0,1,1,0
22,1681777127.5,1,1,0,1,1,0
23,1681777177.5,1,1,0,1,1,0
24,1681777227.5,1,1,0,1,1,0
25,1681777277.5,1,1,0,1,1,0
26,1681777327.5,1,1,0,1,1,0
27,1681777377.5,1,1,0,1,1,0
28,1681777427.5,1,1,0,1,1,0
29,1681777477.5,1,1,0,1,1,0
30,1681777527.5,1,1,0,1,1,0
31,1681777577.5,1,1,0,1,1,0
32,1681777627.5,1,1,0,1,1,0
33,1681777677.5,1,1,0,1,1,0
34,1681777727.5,1,1,0,1,1,0
35,1681777777.5,1,1,0,1,1,0
36,1681777827.5,1,1,0,1,1,0
37,1681777877.5,1,1,0,1,1,0
38,1681777927.5,1,1,0,1,1,0
39,1681777977.5,1,1,0,1,1,0
40,1681778027.5,1,1,0,1,1,0
41,1681778077.5,1,1,0,1,1,0
42,1681778127.5,1,1,0,1,1,0
43,1681778177.5,1,1,0,1,1,0
44,1681778227.5,1,1,0,1,1,0
45,1681778277.5,1,1,0,1,1,0
46,1681778327.5,1,1,0,1,1,0
47,1681778377.5,1,1,0,1,1,0
48,1681778427.5,1,1,0,1,1,0
49,1681778477.5,1,1,0,1,1,0
50,1681778527.5,1,1,0,1,1,1
51,1681778577.5,1,1,0,1,1,1
52,1681778627.5,1,1,0,1,1,1
53,1681778677.5,1,1,0,1,1,1
54,1681778727.5,1,1,0,1,1,1
55,1681778777.5,1,1,0,1,1,1
56,1681778827.5,1,1,0,1,1,1
57,1681778877.5,1,1,0,1,1,1
58,1681778927.5,1,1,0,1,1,1
59,1681778977.5,1,1,0,1,1,1
60,1681779027.5,1,1,0,1,1,1
61,1681779077.5,1,1,0,1,1,1
62,1681779127.5,1,1,0,1,1,1
